post_id,lat,lon,sign_type,streets
0,35.958099,-78.487661,begin/end,Chalk Road
1,35.958137,-78.487482,major-crossing,Chalk Road
2,35.959023,-78.483488,begin/end,Jones Dairy Road
3,35.957876,-78.482198,begin/end,Jones Dairy Road
4,35.982798,-78.514969,begin/end,Stadium Drive
5,35.98297,-78.514849,begin/end,Stadium Drive
6,35.983375,-78.515777,begin/end,Stadium Drive
7,35.983194,-78.515876,begin/end,Stadium Drive
8,35.975726,-78.511239,begin/end,East Elm Avenue
9,35.975549,-78.511348,begin/end,East Elm Avenue
10,35.975357,-78.510671,begin/end,East Elm Avenue
11,35.975548,-78.510607,begin/end,East Elm Avenue
12,35.991985,-78.510072,begin/end,West Oak Avenue
13,35.992668,-78.51082,begin/end,West Oak Avenue
14,35.947232,-78.536221,begin/end,South Main Street
15,35.947069,-78.536082,begin/end,South Main Street
16,35.948675,-78.533081,begin/end,South Main Street
17,35.948849,-78.533199,begin/end,South Main Street
18,35.948366,-78.53425,major-crossing,South Main Street
19,35.948199,-78.534118,major-crossing,South Main Street
20,35.948663,-78.53037,begin/end,South Main Street
21,35.951681,-78.522811,begin/end,South Main Street
22,35.954607,-78.526269,begin/end,South Main Street
23,35.949736,-78.531111,major-crossing,South Main Street
24,35.961243,-78.518545,begin/end,South Main Street
25,35.962023,-78.518017,major-crossing,South Main Street
26,35.962063,-78.518256,major-crossing,South Main Street
27,35.967186,-78.517413,begin/end,South Main Street
28,35.967125,-78.517181,begin/end,South Main Street
29,35.967961,-78.516842,begin/end,South Main Street
30,35.968024,-78.517073,begin/end,South Main Street
31,35.971556,-78.515914,begin/end,South Main Street
32,35.971508,-78.515678,begin/end,South Main Street
33,35.971755,-78.515602,begin/end,South Main Street
34,35.971803,-78.515839,begin/end,South Main Street
35,35.975353,-78.513303,begin/end,South Main Street
36,35.975447,-78.513517,begin/end,South Main Street
37,35.97523,-78.51366,begin/end,South Main Street
38,35.975136,-78.513446,begin/end,South Main Street
39,35.931814,-78.52879,begin/end,Ligon Mill Road
40,35.930727,-78.528516,begin/end,Ligon Mill Road
41,35.942616,-78.531882,begin/end,Ligon Mill Road
42,35.942525,-78.531665,begin/end,Ligon Mill Road
43,35.943874,-78.530948,begin/end,Ligon Mill Road
44,35.971626,-78.493579,begin/end,Wait Avenue
45,35.97495,-78.499557,begin/end,Wait Avenue
46,35.994742,-78.490233,begin/end,North White Street
47,35.993763,-78.49119,begin/end,North White Street
48,35.960625,-78.523807,begin/end,Cimarron Parkway
49,35.961596,-78.52143,begin/end,Cimarron Parkway
50,35.962099,-78.520789,begin/end,Cimarron Parkway
51,35.962654,-78.520138,begin/end,Cimarron Parkway
52,35.953282,-78.500584,begin/end,Heritage Lake Road
53,35.951439,-78.500763,begin/end,Heritage Lake Road
54,35.95142,-78.50052,begin/end,Heritage Lake Road
55,35.986835,-78.52147,begin/end,Stadium Drive
56,35.990088,-78.52584,begin/end,Stadium Drive
57,35.935012,-78.528441,begin/end,Carriage Meadows Drive
58,35.935098,-78.524628,begin/end,Carriage Meadows Drive
59,35.982645,-78.497727,begin/end,East Juniper Avenue
60,35.982704,-78.497449,begin/end,East Juniper Avenue
61,35.987839,-78.506046,begin/end,North Main Street
62,35.987999,-78.506191,begin/end,North Main Street
63,35.987515,-78.506616,begin/end,North Main Street
64,35.966905,-78.544057,begin/end,Retail Drive
65,35.966758,-78.543894,begin/end,Retail Drive
66,35.976324,-78.543337,begin/end,Retail Drive
67,35.976363,-78.543576,begin/end,Retail Drive
68,35.948022,-78.507483,begin/end,Rogers Road
69,35.948154,-78.507301,begin/end,Rogers Road
70,35.95019,-78.509518,begin/end,Rogers Road
71,35.950248,-78.509751,begin/end,Rogers Road
72,35.920166,-78.538025,begin/end,One World Way
73,35.921542,-78.537639,begin/end,One World Way
74,35.940538,-78.487979,begin/end,Rogers Road
75,35.940717,-78.487874,begin/end,Rogers Road
76,35.941099,-78.489149,begin/end,Rogers Road
77,35.950418,-78.513143,begin/end,Rogers Road
78,35.95042,-78.513386,begin/end,Rogers Road
79,35.950262,-78.514635,begin/end,Rogers Road
80,35.950065,-78.514609,begin/end,Rogers Road
81,35.950276,-78.513266,major-crossing,Rogers Road
82,35.95861,-78.501581,begin/end,Heritage Lake Road
83,35.955815,-78.501271,begin/end,Heritage Lake Road
84,35.967446,-78.475098,begin/end,Wait Avenue
85,35.967629,-78.474923,begin/end,Wait Avenue
86,35.939299,-78.507521,begin/end,Forestville Road
87,35.93713,-78.507336,begin/end,Forestville Road
88,35.937165,-78.507096,begin/end,Forestville Road
89,35.980882,-78.543795,begin/end,Wake Union Church Road
90,35.981402,-78.543156,begin/end,Wake Union Church Road
91,35.968366,-78.495139,begin/end,Gateway Commons Circle
92,35.968439,-78.494913,begin/end,Gateway Commons Circle
93,35.969284,-78.49532,begin/end,Gateway Commons Circle
94,35.969211,-78.495547,begin/end,Gateway Commons Circle
95,35.978155,-78.507318,begin/end,Wait Avenue
96,35.97814,-78.507498,begin/end,Wait Avenue
97,35.96013,-78.485138,begin/end,Chalk Road
98,35.959983,-78.484975,begin/end,Chalk Road
99,35.96014,-78.484943,begin/end,Chalk Road
100,35.959281,-78.533944,begin/end,Caveness Farms Avenue
101,35.959712,-78.533685,begin/end,Caveness Farms Avenue
102,35.959473,-78.533788,major-crossing,Caveness Farms Avenue
103,35.943715,-78.505066,begin/end,Rogers Branch Road
104,35.943681,-78.504805,begin/end,Rogers Branch Road
105,35.969052,-78.454316,begin/end,Averette Road
106,35.968653,-78.453727,begin/end,Averette Road
